,day,MPIW,PICP,CRPS,features
0,1,5.635542024301896,0.9791666666666666,1.2981420457198198,1
1,2,5.554282845268023,0.9791666666666666,1.2073661667658941,1
2,3,5.245254789090468,1.0,0.9054858544054861,1
3,4,5.361428719652342,1.0,0.946072257941108,1
4,5,4.17983623647761,1.0,0.7696091883950628,1
5,6,2.9728708459097004,1.0,0.5636270283272062,1
6,7,3.4844514489623353,1.0,0.6128837415967193,1
7,8,4.046987335703205,1.0,0.6417324436330473,1
8,9,4.341751460698845,0.9166666666666666,1.0511787904289354,1
9,10,4.948158322511634,0.9583333333333334,1.1182904676373082,1
10,11,3.7928036504276315,1.0,0.8345309744365794,1
11,12,3.8828621787508375,1.0,0.6193435635994812,1
12,13,5.135967065912781,0.9166666666666666,1.3327541219003896,1
13,14,5.7903742503866615,1.0,1.3724457915893564,1
0,1,5.635542024301896,0.9791666666666666,1.2981420457198198,1
1,2,5.554282845268023,0.9791666666666666,1.2073661667658941,1
2,3,5.245254789090468,1.0,0.9054858544054861,1
3,4,5.361428719652342,1.0,0.946072257941108,1
4,5,4.17983623647761,1.0,0.7696091883950628,1
5,6,2.9728708459097004,1.0,0.5636270283272062,1
6,7,3.4844514489623353,1.0,0.6128837415967193,1
7,8,4.046987335703205,1.0,0.6417324436330473,1
8,9,4.341751460698845,0.9166666666666666,1.0511787904289354,1
9,10,4.948158322511634,0.9583333333333334,1.1182904676373082,1
10,11,3.7928036504276315,1.0,0.8345309744365794,1
11,12,3.8828621787508375,1.0,0.6193435635994812,1
12,13,5.135967065912781,0.9166666666666666,1.3327541219003896,1
13,14,5.7903742503866615,1.0,1.3724457915893564,1
0,1,5.635542024301896,0.9791666666666666,1.2981420457198198,1
1,2,5.554282845268023,0.9791666666666666,1.2073661667658941,1
2,3,5.245254789090468,1.0,0.9054858544054861,1
3,4,5.361428719652342,1.0,0.946072257941108,1
4,5,4.17983623647761,1.0,0.7696091883950628,1
5,6,2.9728708459097004,1.0,0.5636270283272062,1
6,7,3.4844514489623353,1.0,0.6128837415967193,1
7,8,4.046987335703205,1.0,0.6417324436330473,1
8,9,4.341751460698845,0.9166666666666666,1.0511787904289354,1
9,10,4.948158322511634,0.9583333333333334,1.1182904676373082,1
10,11,3.7928036504276315,1.0,0.8345309744365794,1
11,12,3.8828621787508375,1.0,0.6193435635994812,1
12,13,5.135967065912781,0.9166666666666666,1.3327541219003896,1
13,14,5.7903742503866615,1.0,1.3724457915893564,1
