,year,month,hour,day,hourSin,hourCos,upper,lower,PVout,radiation flux,temperature
0,2023,1,0.0,31,0.0,1.0,0.0,0.0,0.0,0.0,0.9276214599609602
1,2023,1,0.5,31,0.13052619222005157,0.9914448613738104,0.0,0.0,0.0,0.0,0.5997558593750227
2,2023,1,1.0,31,0.25881904510252074,0.9659258262890683,0.0,0.0,0.0,0.0,0.2718902587890852
3,2023,1,1.5,31,0.3826834323650898,0.9238795325112867,0.0,0.0,0.0,0.0,0.0265060424804914
4,2023,1,2.0,31,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,-0.2188781738281022
5,2023,1,2.5,31,0.6087614290087207,0.7933533402912352,0.0,0.0,0.0,0.0,-0.5793212890624773
6,2023,1,3.0,31,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,-0.9397644042968524
7,2023,1,3.5,31,0.7933533402912352,0.6087614290087207,0.0,0.0,0.0,0.0,-1.2524322509765398
8,2023,1,4.0,31,0.8660254037844386,0.5000000000000001,0.61055565,0.0,0.30527782,0.0,-1.5651000976562273
9,2023,1,4.5,31,0.9238795325112867,0.38268343236508984,0.61055565,0.0,0.30527782,0.0,-1.5992950439452898
10,2023,1,5.0,31,0.9659258262890683,0.25881904510252074,0.61055565,0.0,0.30527782,0.0,-1.6334899902343525
11,2023,1,5.5,31,0.9914448613738104,0.1305261922200517,0.61055565,0.0,0.30527782,0.0,-1.8084930419921648
12,2023,1,6.0,31,1.0,6.123233995736766e-17,0.61055565,0.0,0.30527782,0.0,-1.9834960937499773
13,2023,1,6.5,31,0.9914448613738104,-0.1305261922200516,0.6150496,0.0,0.3075248,1.046875,-2.1424087524413835
14,2023,1,7.0,31,0.9659258262890683,-0.25881904510252063,0.6194532,0.0,0.3097266,2.09375,-2.3013214111327898
15,2023,1,7.5,31,0.9238795325112868,-0.3826834323650895,0.82931757,0.0,0.41465878,51.984375,-1.695982360839821
16,2023,1,8.0,31,0.8660254037844387,-0.4999999999999998,1.0205272,0.0,0.5102636,101.875,-1.0906433105468525
17,2023,1,8.5,31,0.7933533402912352,-0.6087614290087207,1.2988496,0.0,0.6494248,194.57030367851257,0.0467773437500227
18,2023,1,9.0,31,0.7071067811865476,-0.7071067811865475,1.4197233,0.0,0.70986164,287.26560735702515,1.1841979980468975
19,2023,1,9.5,31,0.6087614290087209,-0.793353340291235,1.2894471,0.0,0.64472353,369.9095103740692,1.96949157714846
20,2023,1,10.0,31,0.49999999999999994,-0.8660254037844387,1.2423081,0.021501541,0.63190484,452.5534133911133,2.7547851562500227
21,2023,1,10.5,31,0.3826834323650899,-0.9238795325112867,1.2890257,0.24275136,0.7658885,511.58359718322754,3.358186340332054
22,2023,1,11.0,31,0.258819045102521,-0.9659258262890682,1.3357432,0.46400118,0.8998722,570.6137809753418,3.961587524414085
23,2023,1,11.5,31,0.130526192220052,-0.9914448613738104,1.3585459,0.5719931,0.9652695,599.4263181686401,4.386209106445335
24,2023,1,12.0,31,1.2246467991473532e-16,-1.0,1.3813487,0.67998457,1.0306666,628.2388553619385,4.810830688476585
25,2023,1,12.5,31,-0.13052619222005177,-0.9914448613738104,1.378067,0.6644442,1.0212556,624.0926151275635,5.165185546875023
26,2023,1,13.0,31,-0.2588190451025208,-0.9659258262890683,1.3747858,0.6489036,1.0118446,619.9463748931885,5.51954040527346
27,2023,1,13.5,31,-0.38268343236508967,-0.9238795325112868,1.345712,0.5112128,0.9284624,583.2100067138672,5.749551391601585
28,2023,1,14.0,31,-0.4999999999999997,-0.8660254037844388,1.3166382,0.37352228,0.84508026,546.4736385345459,5.97956237792971
29,2023,1,14.5,31,-0.6087614290087207,-0.7933533402912352,1.2649288,0.12863135,0.6967801,481.13596200942993,6.066400146484398
30,2023,1,15.0,31,-0.7071067811865471,-0.7071067811865479,1.2313385,0.0,0.61566925,415.798285484314,6.153237915039085
31,2023,1,15.5,31,-0.7933533402912349,-0.6087614290087209,1.3680851,0.0,0.6840426,328.7468521595001,6.087182617187523
32,2023,1,16.0,31,-0.8660254037844384,-0.5000000000000004,1.4093575,0.0,0.7046788,241.69541883468628,6.02112731933596
33,2023,1,16.5,31,-0.9238795325112868,-0.3826834323650895,1.1850243,0.0,0.59251213,152.28520941734314,5.4341293334961165
34,2023,1,17.0,31,-0.9659258262890683,-0.25881904510252063,0.8747513,0.0,0.43737566,62.875,4.847131347656273
35,2023,1,17.5,31,-0.9914448613738104,-0.13052619222005163,0.74288774,0.0,0.37144387,31.4375,4.1284957885742415
36,2023,1,18.0,31,-1.0,-1.8369701987210297e-16,0.61055565,0.0,0.30527782,0.0,3.4098602294922102
37,2023,1,18.5,31,-0.9914448613738105,0.13052619222005127,0.61055565,0.0,0.30527782,0.0,2.8779541015625227
38,2023,1,19.0,31,-0.9659258262890684,0.2588190451025203,0.61055565,0.0,0.30527782,0.0,2.3460479736328352
39,2023,1,19.5,31,-0.923879532511287,0.38268343236508917,0.61055565,0.0,0.30527782,0.0,2.090455627441429
40,2023,1,20.0,31,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,1.8348632812500227
41,2023,1,20.5,31,-0.7933533402912357,0.6087614290087199,0.0,0.0,0.0,0.0,1.654359436035179
42,2023,1,21.0,31,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,0.0,1.4738555908203352
43,2023,1,21.5,31,-0.6087614290087209,0.7933533402912349,0.0,0.0,0.0,0.0,1.3637176513672102
44,2023,1,22.0,31,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,1.2535797119140852
45,2023,1,22.5,31,-0.38268343236508956,0.9238795325112868,0.0,0.0,0.0,0.0,1.1271835327148665
46,2023,1,23.0,31,-0.25881904510252157,0.9659258262890681,0.0,0.0,0.0,0.0,1.0007873535156475
47,2023,1,23.5,31,-0.13052619222005168,0.9914448613738104,0.0,0.0,0.0,0.0,1.0668731689453352
